========================================
         BYBIT OHLC DATA
========================================
Symbol     : 1000BONKUSDT
Category   : linear
Timeframe  : 5m
Total Data : 35136 candle
Dari       : 2025-06-01 00:00:00 UTC
Sampai     : 2025-09-30 23:55:00 UTC
Generated  : 2026-05-15 05:36:52 UTC
========================================

Waktu (UTC)              | Open          High          Low           Close         Volume          
2025-06-01 06:50:00      | 0.016338      0.016374      0.016331      0.016331      1399000.0000    
2025-06-01 06:55:00      | 0.016331      0.016331      0.016293      0.016304      2204800.0000    
2025-06-01 07:00:00      | 0.016304      0.016304      0.016239      0.016245      6111000.0000    
2025-06-01 07:05:00      | 0.016245      0.016254      0.016211      0.016230      2430400.0000    
2025-06-01 07:10:00      | 0.016230      0.016308      0.016223      0.016303      2754300.0000    
2025-06-01 07:15:00      | 0.016303      0.016375      0.016303      0.016311      3230700.0000    
2025-06-01 07:20:00      | 0.016311      0.016335      0.016276      0.016296      4107400.0000    
2025-06-01 07:25:00      | 0.016296      0.016359      0.016296      0.016350      2587400.0000    
2025-06-01 07:30:00      | 0.016350      0.016353      0.016286      0.016288      2267500.0000    
2025-06-01 07:35:00      | 0.016288      0.016290      0.016196      0.016216      15019600.0000   
2025-06-01 07:40:00      | 0.016216      0.016246      0.016174      0.016244      6872800.0000    
2025-06-01 07:45:00      | 0.016244      0.016274      0.016220      0.016258      3937500.0000    
2025-06-01 07:50:00      | 0.016258      0.016293      0.016250      0.016293      2170400.0000    
2025-06-01 07:55:00      | 0.016293      0.016310      0.016271      0.016290      1232300.0000    
2025-06-01 08:00:00      | 0.016290      0.016304      0.016211      0.016222      3939300.0000    
2025-06-01 08:05:00      | 0.016222      0.016245      0.016183      0.016197      2794300.0000    
2025-06-01 08:10:00      | 0.016197      0.016241      0.016197      0.016223      1406400.0000    
2025-06-01 08:15:00      | 0.016223      0.016254      0.016204      0.016217      3856200.0000    
2025-06-01 08:20:00      | 0.016217      0.016252      0.016178      0.016178      2159900.0000    
2025-06-01 08:25:00      | 0.016178      0.016208      0.016134      0.016172      3970700.0000    
2025-06-01 08:30:00      | 0.016172      0.016235      0.016164      0.016210      3518900.0000    
2025-06-01 08:35:00      | 0.016210      0.016219      0.016154      0.016190      1966200.0000    
2025-06-01 08:40:00      | 0.016190      0.016247      0.016185      0.016242      4166300.0000    
2025-06-01 08:45:00      | 0.016242      0.016251      0.016182      0.016184      3507900.0000    
2025-06-01 08:50:00      | 0.016184      0.016233      0.016153      0.016169      1683300.0000    
2025-06-01 08:55:00      | 0.016169      0.016214      0.016163      0.016205      1638000.0000    
2025-06-01 09:00:00      | 0.016205      0.016287      0.016160      0.016177      3728100.0000    
2025-06-01 09:05:00      | 0.016177      0.016210      0.016102      0.016129      4628100.0000    
2025-06-01 09:10:00      | 0.016129      0.016188      0.016129      0.016168      2525900.0000    
2025-06-01 09:15:00      | 0.016168      0.016193      0.016072      0.016088      18073500.0000   
2025-06-01 09:20:00      | 0.016088      0.016106      0.016029      0.016102      16028200.0000   
2025-06-01 09:25:00      | 0.016102      0.016106      0.016029      0.016051      16425800.0000   
2025-06-01 09:30:00      | 0.016051      0.016054      0.015982      0.016011      10693200.0000   
2025-06-01 09:35:00      | 0.016011      0.016057      0.015990      0.016012      3945700.0000    
2025-06-01 09:40:00      | 0.016012      0.016037      0.015957      0.016004      4902400.0000    
2025-06-01 09:45:00      | 0.016004      0.016031      0.015893      0.015989      42599000.0000   
2025-06-01 09:50:00      | 0.015989      0.016015      0.015965      0.015995      8027800.0000    
2025-06-01 09:55:00      | 0.015995      0.016096      0.015990      0.016086      33910300.0000   
2025-06-01 10:00:00      | 0.016086      0.016187      0.016077      0.016097      12990000.0000   
2025-06-01 10:05:00      | 0.016097      0.016108      0.016047      0.016072      2550400.0000    
2025-06-01 10:10:00      | 0.016072      0.016164      0.016072      0.016156      2492800.0000    
2025-06-01 10:15:00      | 0.016156      0.016174      0.016105      0.016111      4601900.0000    
2025-06-01 10:20:00      | 0.016111      0.016157      0.016097      0.016113      10146200.0000   
2025-06-01 10:25:00      | 0.016113      0.016173      0.016113      0.016144      11224800.0000   
2025-06-01 10:30:00      | 0.016144      0.016160      0.016066      0.016069      3389000.0000    
2025-06-01 10:35:00      | 0.016069      0.016104      0.016012      0.016016      45302900.0000   
2025-06-01 10:40:00      | 0.016016      0.016042      0.015993      0.016029      3746700.0000    
2025-06-01 10:45:00      | 0.016029      0.016041      0.015987      0.015989      5103500.0000    
2025-06-01 10:50:00      | 0.015989      0.016080      0.015981      0.016054      21446400.0000   
2025-06-01 10:55:00      | 0.016054      0.016141      0.016051      0.016126      2688600.0000    
2025-06-01 11:00:00      | 0.016126      0.016126      0.016054      0.016089      3325300.0000    
2025-06-01 11:05:00      | 0.016089      0.016125      0.016058      0.016066      5385600.0000    
2025-06-01 11:10:00      | 0.016066      0.016108      0.016041      0.016086      2148700.0000    
2025-06-01 11:15:00      | 0.016086      0.016234      0.016078      0.016218      15160900.0000   
2025-06-01 11:20:00      | 0.016218      0.016255      0.016175      0.016208      8516100.0000    
2025-06-01 11:25:00      | 0.016208      0.016221      0.016183      0.016220      2478900.0000    
2025-06-01 11:30:00      | 0.016220      0.016248      0.016175      0.016232      18446200.0000   
2025-06-01 11:35:00      | 0.016232      0.016271      0.016213      0.016248      3613800.0000    
2025-06-01 11:40:00      | 0.016248      0.016322      0.016236      0.016322      3944200.0000    
2025-06-01 11:45:00      | 0.016322      0.016322      0.016240      0.016244      3226000.0000    
2025-06-01 11:50:00      | 0.016244      0.016250      0.016185      0.016194      15550800.0000   
2025-06-01 11:55:00      | 0.016194      0.016217      0.016158      0.016189      23248400.0000   
2025-06-01 12:00:00      | 0.016189      0.016220      0.016161      0.016174      5000600.0000    
2025-06-01 12:05:00      | 0.016174      0.016174      0.016125      0.016152      2866500.0000    
2025-06-01 12:10:00      | 0.016152      0.016208      0.016146      0.016178      4748300.0000    
2025-06-01 12:15:00      | 0.016178      0.016204      0.016145      0.016163      3162300.0000    
2025-06-01 12:20:00      | 0.016163      0.016186      0.016084      0.016099      4773400.0000    
2025-06-01 12:25:00      | 0.016099      0.016144      0.016089      0.016134      2552800.0000    
2025-06-01 12:30:00      | 0.016134      0.016157      0.016052      0.016066      4781500.0000    
2025-06-01 12:35:00      | 0.016066      0.016074      0.015998      0.016048      11953200.0000   
2025-06-01 12:40:00      | 0.016048      0.016052      0.015999      0.016014      5459200.0000    
2025-06-01 12:45:00      | 0.016014      0.016025      0.015958      0.015966      3537900.0000    
2025-06-01 12:50:00      | 0.015966      0.016020      0.015961      0.015982      2876400.0000    
2025-06-01 12:55:00      | 0.015982      0.016041      0.015982      0.016016      3630600.0000    
2025-06-01 13:00:00      | 0.016016      0.016016      0.015972      0.015984      2749200.0000    
2025-06-01 13:05:00      | 0.015984      0.016048      0.015980      0.016044      1438300.0000    
2025-06-01 13:10:00      | 0.016044      0.016112      0.016044      0.016108      4906200.0000    
2025-06-01 13:15:00      | 0.016108      0.016173      0.016079      0.016152      12111000.0000   
2025-06-01 13:20:00      | 0.016152      0.016167      0.016097      0.016116      5826400.0000    
2025-06-01 13:25:00      | 0.016116      0.016126      0.016051      0.016051      3015400.0000    
2025-06-01 13:30:00      | 0.016051      0.016127      0.016044      0.016123      3540800.0000    
2025-06-01 13:35:00      | 0.016123      0.016142      0.016062      0.016119      3549300.0000    
2025-06-01 13:40:00      | 0.016119      0.016188      0.016119      0.016175      14785100.0000   
2025-06-01 13:45:00      | 0.016175      0.016203      0.016145      0.016150      2600000.0000    
2025-06-01 13:50:00      | 0.016150      0.016164      0.016126      0.016128      2160400.0000    
2025-06-01 13:55:00      | 0.016128      0.016145      0.016122      0.016138      1117700.0000    
2025-06-01 14:00:00      | 0.016138      0.016255      0.016138      0.016255      4271000.0000    
2025-06-01 14:05:00      | 0.016255      0.016325      0.016220      0.016315      5942600.0000    
2025-06-01 14:10:00      | 0.016315      0.016355      0.016266      0.016273      2944800.0000    
2025-06-01 14:15:00      | 0.016273      0.016413      0.016273      0.016413      7388900.0000    
2025-06-01 14:20:00      | 0.016413      0.016441      0.016377      0.016411      6083700.0000    
2025-06-01 14:25:00      | 0.016411      0.016475      0.016404      0.016450      4964000.0000    
2025-06-01 14:30:00      | 0.016450      0.016472      0.016400      0.016416      3600100.0000    
2025-06-01 14:35:00      | 0.016416      0.016517      0.016384      0.016476      21107200.0000   
2025-06-01 14:40:00      | 0.016476      0.016491      0.016416      0.016469      2756200.0000    
2025-06-01 14:45:00      | 0.016469      0.016510      0.016374      0.016374      5022700.0000    
2025-06-01 14:50:00      | 0.016374      0.016418      0.016356      0.016407      2802600.0000    
2025-06-01 14:55:00      | 0.016407      0.016442      0.016367      0.016387      3529700.0000    
2025-06-01 15:00:00      | 0.016387      0.016450      0.016387      0.016425      2632000.0000    
2025-06-01 15:05:00      | 0.016425      0.016428      0.016357      0.016385      4151000.0000    
2025-06-01 15:10:00      | 0.016385      0.016386      0.016339      0.016360      2589800.0000    
2025-06-01 15:15:00      | 0.016360      0.016456      0.016358      0.016434      2494800.0000    
2025-06-01 15:20:00      | 0.016434      0.016483      0.016432      0.016469      1598500.0000    
2025-06-01 15:25:00      | 0.016469      0.016502      0.016412      0.016487      2935200.0000    
2025-06-01 15:30:00      | 0.016487      0.016525      0.016447      0.016468      4188800.0000    
2025-06-01 15:35:00      | 0.016468      0.016530      0.016467      0.016502      3345000.0000    
2025-06-01 15:40:00      | 0.016502      0.016520      0.016470      0.016511      1498500.0000    
2025-06-01 15:45:00      | 0.016511      0.016530      0.016408      0.016431      1649000.0000    
2025-06-01 15:50:00      | 0.016431      0.016457      0.016389      0.016396      3837800.0000    
2025-06-01 15:55:00      | 0.016396      0.016452      0.016395      0.016450      3240800.0000    
2025-06-01 16:00:00      | 0.016450      0.016462      0.016427      0.016454      3108000.0000    
2025-06-01 16:05:00      | 0.016454      0.016609      0.016454      0.016607      9543600.0000    
2025-06-01 16:10:00      | 0.016607      0.016765      0.016590      0.016642      41008000.0000   
2025-06-01 16:15:00      | 0.016642      0.016680      0.016545      0.016609      6555300.0000    
2025-06-01 16:20:00      | 0.016609      0.016669      0.016588      0.016640      4752500.0000    
2025-06-01 16:25:00      | 0.016640      0.016704      0.016562      0.016578      6516400.0000    
2025-06-01 16:30:00      | 0.016578      0.016612      0.016551      0.016566      3081000.0000    
2025-06-01 16:35:00      | 0.016566      0.016732      0.016544      0.016721      12746000.0000   
2025-06-01 16:40:00      | 0.016721      0.016783      0.016717      0.016756      8423700.0000    
2025-06-01 16:45:00      | 0.016756      0.016781      0.016691      0.016722      10749900.0000   
2025-06-01 16:50:00      | 0.016722      0.016750      0.016708      0.016720      4652800.0000    
2025-06-01 16:55:00      | 0.016720      0.016729      0.016634      0.016640      6993800.0000    
2025-06-01 17:00:00      | 0.016640      0.016663      0.016598      0.016649      2948700.0000    
2025-06-01 17:05:00      | 0.016649      0.016690      0.016591      0.016684      3895100.0000    
2025-06-01 17:10:00      | 0.016684      0.016689      0.016593      0.016606      2131800.0000    
2025-06-01 17:15:00      | 0.016606      0.016615      0.016548      0.016611      2107900.0000    
2025-06-01 17:20:00      | 0.016611      0.016639      0.016603      0.016635      2914300.0000    
2025-06-01 17:25:00      | 0.016635      0.016658      0.016624      0.016647      2344500.0000    
2025-06-01 17:30:00      | 0.016647      0.016765      0.016644      0.016741      2608300.0000    
2025-06-01 17:35:00      | 0.016741      0.016778      0.016729      0.016770      2424900.0000    
2025-06-01 17:40:00      | 0.016770      0.016777      0.016659      0.016659      4725900.0000    
2025-06-01 17:45:00      | 0.016659      0.016696      0.016639      0.016690      2325000.0000    
2025-06-01 17:50:00      | 0.016690      0.016724      0.016638      0.016672      4413000.0000    
2025-06-01 17:55:00      | 0.016672      0.016679      0.016628      0.016645      1982000.0000    
2025-06-01 18:00:00      | 0.016645      0.016663      0.016559      0.016596      6279600.0000    
2025-06-01 18:05:00      | 0.016596      0.016596      0.016540      0.016548      2788200.0000    
2025-06-01 18:10:00      | 0.016548      0.016578      0.016534      0.016555      1621100.0000    
2025-06-01 18:15:00      | 0.016555      0.016563      0.016512      0.016542      2545500.0000    
2025-06-01 18:20:00      | 0.016542      0.016542      0.016429      0.016473      9887400.0000    
2025-06-01 18:25:00      | 0.016473      0.016488      0.016406      0.016419      8067300.0000    
2025-06-01 18:30:00      | 0.016419      0.016421      0.016358      0.016371      4978200.0000    
2025-06-01 18:35:00      | 0.016371      0.016395      0.016290      0.016307      7668900.0000    
2025-06-01 18:40:00      | 0.016307      0.016345      0.016257      0.016285      8737700.0000    
2025-06-01 18:45:00      | 0.016285      0.016371      0.016277      0.016340      5038200.0000    
2025-06-01 18:50:00      | 0.016340      0.016355      0.016307      0.016338      3264900.0000    
2025-06-01 18:55:00      | 0.016338      0.016462      0.016338      0.016455      8657400.0000    
2025-06-01 19:00:00      | 0.016455      0.016535      0.016445      0.016528      11093900.0000   
2025-06-01 19:05:00      | 0.016528      0.016538      0.016482      0.016485      10613000.0000   
2025-06-01 19:10:00      | 0.016485      0.016511      0.016460      0.016492      5245400.0000    
2025-06-01 19:15:00      | 0.016492      0.016528      0.016480      0.016528      5080900.0000    
2025-06-01 19:20:00      | 0.016528      0.016569      0.016517      0.016547      3318600.0000    
